"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 03- 31","24.532","24.045","24.565","23.740","65.79K","1.64%"
"2021- 03- 30","24.137","24.725","24.770","23.880","72.66K","-2.56%"
"2021- 03- 29","24.771","25.105","25.150","24.480","52.99K","-1.37%"
"2021- 03- 26","25.114","25.150","25.335","24.920","42.08K","0.27%"
"2021- 03- 25","25.047","25.170","25.255","24.435","86.47K","-0.73%"
"2021- 03- 24","25.231","25.120","25.430","25.020","42.91K","0.02%"
"2021- 03- 23","25.227","25.850","25.915","25.050","63.34K","-2.10%"
"2021- 03- 22","25.769","26.340","26.350","25.450","62.03K","-2.10%"
"2021- 03- 19","26.321","26.150","26.400","25.925","51.79K","-0.11%"
"2021- 03- 18","26.351","26.400","26.740","25.875","76.40K","1.12%"
"2021- 03- 17","26.058","26.005","26.615","25.805","55.13K","0.21%"
"2021- 03- 16","26.003","26.340","26.405","25.885","47.61K","-1.08%"
"2021- 03- 15","26.288","26.070","26.390","25.845","48.44K","1.45%"
"2021- 03- 12","25.911","26.195","26.235","25.425","56.88K","-1.08%"
"2021- 03- 11","26.193","26.315","26.545","25.885","55.08K","0.24%"
"2021- 03- 10","26.130","26.025","26.315","25.610","53.39K","-0.20%"
"2021- 03- 09","26.183","25.170","26.220","25.090","69.61K","3.62%"
"2021- 03- 08","25.269","25.400","25.965","24.970","61.34K","-0.07%"
"2021- 03- 05","25.287","25.385","25.505","24.845","79.26K","-0.68%"
"2021- 03- 04","25.461","26.175","26.385","25.080","95.00K","-3.51%"
"2021- 03- 03","26.387","26.860","26.915","25.875","82.46K","-1.83%"
"2021- 03- 02","26.879","26.630","26.985","25.820","82.14K","0.75%"
"2021- 03- 01","26.678","26.700","27.175","26.510","71.64K","0.90%"
"2021- 02- 26","26.440","27.530","27.650","26.160","116.75K","-4.50%"
"2021- 02- 25","27.685","28.080","28.345","27.345","109.69K","-0.62%"
"2021- 02- 24","27.859","27.715","28.080","27.365","73.50K","0.62%"
"2021- 02- 23","27.688","28.250","28.425","27.285","104.38K","-1.41%"
"2021- 02- 22","28.085","27.555","28.345","27.330","106.24K","3.05%"
"2021- 02- 19","27.254","27.110","27.710","26.105","96.26K","0.65%"
"2021- 02- 18","27.078","27.465","27.595","26.905","84.30K","-0.87%"
"2021- 02- 17","27.315","27.310","27.490","26.915","73.03K","-0.04%"
"2021- 02- 15","27.325","27.490","28.075","26.870","129.34K","-0.01%"
"2021- 02- 12","27.328","27.020","27.500","26.910","53.47K","1.04%"
"2021- 02- 11","27.047","27.095","27.350","26.750","62.16K","-0.11%"
"2021- 02- 10","27.078","27.350","27.595","26.880","71.17K","-1.18%"
